"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Управление корзиной покупок","TC-017 Удаление товара из корзины на странице корзины","0","0","1","0","0"
"","Управление каталогом товаров","TC-007 Сортировка товаров по имени (A to Z)","0","0","1","0","0"
"","Навигация по приложению","TC-029 Пункт меню 'All Items'","0","0","1","0","0"
"","Навигация по приложению","TC-028 Logout через меню","0","0","1","0","0"
"","Управление каталогом товаров","TC-008 Сортировка товаров по имени (Z to A)","0","0","1","0","0"
"","Авторизация пользователя","TC-002 Успешная авторизация с различными типами пользователей","0","0","3","0","0"
"","Оформление заказа","TC-026 Отмена оформления на втором шаге","0","0","1","0","0"
"","Авторизация пользователя","TC-003 Валидация поля Username — пустое значение","0","0","1","0","0"
"","Управление корзиной покупок","TC-012 Добавление товара в корзину из каталога","0","0","1","0","0"
"","Управление корзиной покупок","TC-016 Отображение добавленных товаров в корзине","0","0","1","0","0"
"","Оформление заказа","TC-025 Проверка корректности расчета общей суммы заказа","0","0","1","0","0"
"","Управление каталогом товаров","TC-010 Сортировка товаров по цене (high to low)","0","0","1","0","0"
"","Оформление заказа","TC-020 Успешное оформление заказа","0","0","1","0","0"
"","Оформление заказа","TC-024 Отмена оформления на первом шаге","0","0","1","0","0"
"","Оформление заказа","TC-022 Валидация поля Last Name — пустое значение","0","0","1","0","0"
"","Управление каталогом товаров","TC-009 Сортировка товаров по цене (low to high)","0","0","1","0","0"
"","Управление корзиной покупок","TC-013 Добавление нескольких товаров в корзину","0","0","1","0","0"
"","Управление каталогом товаров","TC-006 Отображение списка товаров","0","0","1","0","0"
"","Оформление заказа","TC-023 Валидация поля Postal Code — пустое значение","0","0","1","0","0"
"","Управление корзиной покупок","TC-018 Кнопка 'Checkout' в корзине","0","0","1","0","0"
"","Управление каталогом товаров","TC-011 Переход на страницу детальной информации о товаре","0","0","1","0","0"
"","Управление корзиной покупок","TC-015 Счетчик товаров в корзине","0","0","1","0","0"
"","Авторизация пользователя","TC-005 Авторизация с неверными учетными данными","0","0","2","0","0"
"","Оформление заказа","TC-021 Валидация поля First Name — пустое значение","0","0","1","0","0"
"","Авторизация пользователя","TC-004 Валидация поля Password — пустое значение","0","0","1","0","0"
"","Управление корзиной покупок","TC-014 Удаление товара из корзины через каталог","0","0","1","0","0"
"","Навигация по приложению","TC-030 Сброс состояния приложения через Reset App State","0","0","1","0","0"
"","Оформление заказа","TC-027 Возврат к покупкам после успешного оформления","0","0","1","0","0"
"","Авторизация пользователя","TC-001 Успешная авторизация со стандартным пользователем","0","0","1","0","0"
"","Управление корзиной покупок","TC-019 Кнопка 'Continue Shopping' в корзине","0","0","1","0","0"
